GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nexus-crm,com.crm.opportunity.service,OpportunityStageValidator,1,70,1,9,1,14,1,7,0,3
nexus-crm,com.crm.opportunity.service,OpportunityService,67,235,1,5,8,46,6,8,5,6
nexus-crm,com.crm.identity.service,CustomUserDetailsService,6,61,0,0,0,16,1,3,1,3
nexus-crm,com.crm.identity.service,AuthService,107,172,7,7,23,43,10,8,5,6
nexus-crm,com.crm.identity.service,JwtService,0,171,1,5,0,36,1,16,0,14
nexus-crm,com.crm.notification.mapper,NotificationMapperImpl,2,40,1,1,1,10,1,2,0,2
nexus-crm,com.crm.notification.service,NotificationService,7,75,0,0,0,19,1,4,1,4
nexus-crm,com.crm.identity.controller,TestProtectedController,8,13,0,0,2,3,1,3,1,3
nexus-crm,com.crm.identity.controller,AuthController,11,30,1,1,3,7,2,3,1,3
nexus-crm,com.crm.customer.consumer,DealWonConsumer,6,87,1,3,2,20,1,3,0,2
nexus-crm,com.crm.task.api.dto,TaskType,0,27,0,0,0,5,0,1,0,1
nexus-crm,com.crm.task.api.dto,TaskPriority,0,21,0,0,0,4,0,1,0,1
nexus-crm,com.crm.task.api.dto,TaskStatus,0,27,0,0,0,5,0,1,0,1
nexus-crm,com.crm.lead.consumer,LeadScoredEventConsumer,0,43,0,0,0,12,0,3,0,3
nexus-crm,com.crm.audit.mapper,AuditLogMapperImpl,2,50,1,1,1,12,1,2,0,2
nexus-crm,com.crm.workflow.consumer,WorkflowEventConsumer,0,182,0,2,0,40,0,5,0,4
nexus-crm,com.crm.task.controller,TaskController,37,19,0,0,8,4,4,2,4,2
nexus-crm,com.crm.workflow.service,WorkflowService,85,72,1,3,14,14,6,4,5,3
nexus-crm,com.crm.opportunity.controller,OpportunityController,19,26,0,0,4,6,2,3,2,3
nexus-crm,com.crm.task.mapper,TaskMapperImpl,44,122,4,2,14,28,4,3,1,3
nexus-crm,com.crm.infrastructure.kafka,KafkaEventPublisher,18,44,1,1,1,8,1,3,0,3
nexus-crm,com.crm.infrastructure.kafka,KafkaTopicConfig,0,43,0,0,0,21,0,6,0,6
nexus-crm,com.crm.organization.mapper,OrganizationMapperImpl,2,40,1,1,1,10,1,2,0,2
nexus-crm,com.crm.workflow.mapper,WorkflowRuleMapperImpl,28,82,4,2,10,20,4,3,1,3
nexus-crm,com.crm.task.service,TaskService,206,197,12,8,33,41,16,11,8,9
nexus-crm,com.crm.common.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
nexus-crm,com.crm.common.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
nexus-crm,com.crm.common.exception,GlobalExceptionHandler,96,68,4,0,32,25,6,4,4,4
nexus-crm,com.crm.lead.api.dto,LeadStatus,0,33,0,0,0,6,0,1,0,1
nexus-crm,com.crm.opportunity.api.dto,OpportunityStage,0,33,0,0,0,6,0,1,0,1
nexus-crm,com.crm.workflow.controller,WorkflowRuleController,27,10,0,0,7,2,3,1,3,1
nexus-crm,com.crm.infrastructure.security,JwtAuthenticationFilter,6,112,7,9,3,33,7,2,0,1
nexus-crm,com.crm.infrastructure.security,SecurityConfig,0,106,0,0,0,24,0,8,0,8
nexus-crm,com.crm.organization.controller,OrganizationController,37,0,0,0,9,0,4,0,4,0
nexus-crm,com.crm.identity.api.dto,CustomUserDetails,0,18,0,0,0,7,0,7,0,7
nexus-crm,com.crm.identity.mapper,UserMapperImpl,2,47,1,1,1,11,1,2,0,2
nexus-crm,com.crm.identity.mapper,UserMapper,2,10,1,1,1,4,1,1,0,1
nexus-crm,com.crm.lead.service,LeadAssignmentService,0,81,0,4,0,24,0,5,0,3
nexus-crm,com.crm.lead.service,LeadService,2,239,3,5,0,43,3,13,0,12
nexus-crm,com.crm.lead.service,LeadScoringService,4,109,10,19,2,23,10,9,0,3
nexus-crm,com.crm.infrastructure.tenant,TenantContext,3,31,0,2,1,12,1,6,1,5
nexus-crm,com.crm.infrastructure.tenant,TenantContextResolver,11,32,3,5,3,10,3,6,1,4
nexus-crm,com.crm.opportunity.mapper,OpportunityMapperImpl,4,77,2,2,2,19,2,3,0,3
nexus-crm,com.crm,NexusCrmApplication,5,3,0,0,2,1,1,1,1,1
nexus-crm,com.crm.workflow.engine,WorkflowEngine,52,254,15,17,10,56,14,10,0,6
nexus-crm,com.crm.workflow.engine,WorkflowEngine.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
nexus-crm,com.crm.workflow.engine,WorkflowEngine.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
nexus-crm,com.crm.audit.service,AuditService,1,72,1,1,0,15,1,3,0,3
nexus-crm,com.crm.customer.mapper,CustomerMapperImpl,2,50,1,1,1,12,1,2,0,2
nexus-crm,com.crm.infrastructure.config,FlywayConfig,0,12,0,0,0,5,0,3,0,3
nexus-crm,com.crm.notification.consumer,NotificationConsumer,214,0,18,0,60,0,13,0,4,0
nexus-crm,com.crm.audit.controller,AuditLogController,0,12,0,0,0,2,0,1,0,1
nexus-crm,com.crm.organization.service,OrganizationService,93,50,2,2,14,12,7,3,5,3
nexus-crm,com.crm.analytics.service,AnalyticsService,22,245,8,14,6,55,7,7,0,3
nexus-crm,com.crm.customer.api.dto,CustomerAccountStatus,0,21,0,0,0,4,0,1,0,1
nexus-crm,com.crm.customer.service,CustomerDedupService,2,75,2,4,1,20,2,4,0,3
nexus-crm,com.crm.customer.service,CustomerService,36,117,0,0,3,30,4,5,4,5
nexus-crm,com.crm.notification.controller,NotificationController,0,18,0,0,0,4,0,2,0,2
nexus-crm,com.crm.lead.mapper,LeadMapperImpl,4,117,2,2,2,27,2,3,0,3
nexus-crm,com.crm.customer.controller,CustomerController,9,8,0,0,2,2,1,1,1,1
nexus-crm,com.crm.lead.controller,LeadController,8,22,0,0,2,4,1,2,1,2
nexus-crm,com.crm.analytics.controller,AnalyticsController,5,12,1,1,1,4,1,1,0,1
